Coach ID,Name,Title,University
PUR1,Greg Goff,Head Coach,Purdue
PUR2,Barrett Serrato,Assistant Coach / Recruiting Coordinator,Purdue
PUR3,Josh Newman,Assistant Coach,Purdue
PUR4,Jimmy Brenneman,Assistant Coach,Purdue
PUR5,Zac Fascia,Program Operations & Analytics Coordinator,Purdue
PUR6,John Madia,Director of Player Development,Purdue
