Coach ID,Name,Title,University
MICH1,Tracy Smith,Head Coach,Michigan
MICH2,Jake Valentine,Assistant Head Coach / Recruiting Coord.,Michigan
MICH3,Brock Huntzinger,Assistant Coach / Pitchers,Michigan
MICH4,Andrew Stone,Assistant Coach,Michigan
MICH5,Adam Cornwell,Recruiting and Player Development Asst.,Michigan
